NO,category,Movie Name,File Size,Video Size,Video Length,Video Rate,Subtitle,File Name,filesize,disk
528,中国系列,皇家师姐【1.2.3.4.5.6.7】, 2.80 GiB,1280 * 720, 1h 36mn,4168 Kbps,外挂中文,[皇家战士(国粤双语)].Royal.Warriors.1987.BluRay.720p.x264.AC3.2Audios-CMCT.mkv,0,中国系列1_2T
529,中国系列,皇家师姐【1.2.3.4.5.6.7】, 1.37 GiB,1280 * 692, 1h 20mn,2425 Kbps,外挂中文,In.The.Line.Of.Duty.3.Force.Of.The.Dragon.1988.UpScaled.DVD.mkv,0,中国系列1_2T
530,中国系列,皇家师姐【1.2.3.4.5.6.7】, 2.40 GiB,1280 * 720, 1h 34mn,3625 Kbps,无字幕或内嵌字幕,皇家师姐IV直击证人.In.the.Line.of.Duty.Part.4.1989.BluRay.720p.AC3.2Audio.x264-CnSCG.mkv,0,中国系列1_2T
531,中国系列,皇家师姐【1.2.3.4.5.6.7】, 1.37 GiB,1280 * 692, 1h 30mn,2169 Kbps,外挂中文,In.The.Line.Of.Duty.5.Middle.Man.1990.UpScaled.DVDRip.x264.AC3-SILI.mkv,0,中国系列1_2T
532,中国系列,皇家师姐【1.2.3.4.5.6.7】, 1.37 GiB,880 * 480, 1h 27mn,2234 Kbps,外挂中文,NowOur-faitlod6.mkv,0,中国系列1_2T
533,中国系列,皇家师姐【1.2.3.4.5.6.7】, 700 MiB,704 * 384, 1h 26mn,1128 Kbps,无字幕或内嵌字幕,In.The.Line.Of.Duty.7.Sea.Wolves.1991.DVD.X264.2Audio.AAC.iNT-NORM.mkv,0,中国系列1_2T
534,中国系列,监狱风云【1.2】, 5.45 GiB,1280 * 716, 1h 41mn,7673 Kbps,无字幕或内嵌字幕,监狱风云.Prison.on.Fire.1987.720p.BluRay.x264-WiKi.mkv,0,中国系列1_2T
535,中国系列,监狱风云【1.2】, 6.00 GiB,1280 * 714, 1h 53mn,7572 Kbps,无字幕或内嵌字幕,监狱风云2：逃犯.Prison.on.Fire.II.1991.720p.BluRay.x264-WiKi.mkv,0,中国系列1_2T
536,中国系列,省港旗兵【1.2.3.4】, 2.80 GiB,1280 * 672, 1h 45mn,3793 Kbps,无字幕或内嵌字幕,[省港旗兵(国粤双语)].Long.Arm.of.the.Law.1984.BluRay.720p.x264.AC3.2Audios-CMCT.mkv,0,中国系列1_2T
537,中国系列,省港旗兵【1.2.3.4】, 3.00 GiB,1280 * 720, 1h 29mn,4798 Kbps,无字幕或内嵌字幕,[省港旗兵2(国粤)]Long.Arm.of.the.Law.2.1987.BluRay.720p.x264.2Audio.AC3-CnSCG[中文字幕3G].mkv,0,中国系列1_2T
538,中国系列,省港旗兵【1.2.3.4】, 472 MiB,576 * 304, 1h 47mn,610 Kbps,无字幕或内嵌字幕,【更多影片关注微信公众号fsyzy01】3.rmvb,0,中国系列1_2T
539,中国系列,省港旗兵【1.2.3.4】, 498 MiB,864 * 464, 1h 44mn,667 Kbps,无字幕或内嵌字幕,.mkv,0,中国系列1_2T
540,中国系列,硬汉【1.2】, 4.36 GiB,1280 * 576, 1h 35mn,6503 Kbps,无字幕或内嵌字幕,Underdog.Knight.2008.BluRay.720P.DTS.x264-CHD.mkv,0,中国系列1_2T
541,中国系列,硬汉【1.2】, 2.41 GiB,1280 * 720, 1h 25mn,4026 Kbps,无字幕或内嵌字幕,[硬汉2奉陪到底].CHC.He-Man2.2011.HDTV.720p.x264.AC3-CMCT.mkv,0,中国系列1_2T
542,中国系列,神雕侠侣【1.2】, 2.66 GiB,1280 * 720, 1h 50mn,3450 Kbps,未知字幕,Saviour.Of.The.Soul.1991.720p.2Audio.x264.mkv,0,中国系列1_2T
543,中国系列,神雕侠侣【1.2】, 2.41 GiB,1280 * 720, 1h 56mn,2966 Kbps,无字幕或内嵌字幕,九二神雕侠侣之痴心情长剑.Saviour.of.the.Soul.II.1992.720P.HDTV.x264.AC3-CNXP.mkv,0,中国系列1_2T
544,中国系列,窃听风云【1.2.3】, 4.19 GiB,1280 * 528, 2h 10mn,4588 Kbps,无字幕或内嵌字幕,Overheard.3.2014.720P.WEB-DL.x264.AAC-HDWinG.mkv,0,中国系列1_2T
545,中国系列,窃听风云【1.2.3】, 4.37 GiB,1280 * 544, 1h 39mn,6282 Kbps,无字幕或内嵌字幕,窃听风云.Qie.ting.feng.yun.2009.Bluray.720p.2Audio.x264-CHD.mkv,0,中国系列1_2T
